ID,x,z,absZeroPeak_1,absZeroPeak_2,absZeroPeak_3,SEL_1,SEL_2,SEL_3,absZeroAccel,AEL
P1,2.8,2.5,2622.293574375,2650.99487655293,3721.65357980524,167.422003129282,163.599343141122,168.053130046831,4.06627006239034,102.186037238122
P2,4.2,2.5,2363.6719944375,2248.92278049478,2729.3519516082,162.287837703414,161.813943252028,164.177963846295,2.59911560927682,98.2621238039295
P3,5.7,2.5,1856.8296345625,1789.74207850307,1958.52005518287,159.215600093315,158.982835925576,159.806846098136,2.15650818700163,95.2262357869419
P4,4.2,1,1952.1952198125,1690.3652594799,1842.90786820869,158.43327118532,157.011328958553,158.241565142466,1.94185601669641,96.8518917964875
P5,4.2,4,2344.600550125,2278.86996719294,2386.39426848705,164.00921026807,163.296027883878,164.100684591497,2.42635250473002,96.8197750655854
